;business_segment;activity_subsector;activity;company_code;company_name;CAGR Lucros 5 anos;CAGR Receitas 5 anos;D.Y;Dív. líquida/EBIT;Dív. líquida/EBITDA;Dív. líquida/PL;EV/EBIT;EV/EBITDA;Giro ativos;LPA;Liq. corrente;M. Bruta;M. EBIT;M. EBITDA;M. Líquida;P/Ativo;P/Ativo Circ. Liq.;P/Cap. Giro;P/EBIT;P/EBITDA;P/L;P/SR;P/VP;PEG Ratio;PL/Ativos;Passivos/Ativos;ROA;ROE;ROIC;VPA
0;Fios e Tecidos;Tecidos. Vestuário e Calçados;Consumo Cíclico;CTNM4;COTEMINAS;0.0;-3.61;0.0;45.61;8.06;1.87;49.41;8.73;0.49;-6.08;0.95;28.53;1.27;7.2;-9.39;0.01;-0.02;-0.56;1.91;0.34;-0.26;0.02;0.08;0.0;0.15;0.72;-4.63;-30.32;0.18;20.06
0;Bancos;Intermediários Financeiros;Financeiro e Outros;BPAC3;BTG;30.57;46.0;2.04;0.0;0.0;0.0;8.22;8.77;0.13;0.68;1.03;17.34;19.52;18.31;15.8;0.33;-3.86;11.89;12.76;13.6;15.76;2.49;2.92;1.55;0.11;0.89;2.12;18.51;0.0;3.68
0;Energia Elétrica;Energia Elétrica;Utilidade Pública;CEBR3;CEB;11.68;-30.49;32.29;-1.84;0.0;-0.54;1.06;0.0;0.3;2.71;7.35;60.43;69.42;0.0;49.42;0.6;-1.24;1.33;2.88;0.0;4.05;2.0;0.85;-0.05;0.7;0.09;14.77;21.04;16.48;12.88
0;Calçados;Tecidos. Vestuário e Calçados;Consumo Cíclico;ALPA3;ALPARGATAS;-19.63;2.36;0.0;3.12;2.48;0.11;37.66;29.98;0.49;0.18;2.52;46.1;4.81;6.04;2.9;0.82;-1.47;3.04;34.48;27.44;57.08;1.66;1.2;-0.69;0.68;0.32;1.43;2.11;1.62;8.43
0;Químicos Diversos;Químicos;Materiais Básicos;CRPG5;TRONOX PIGMENTOS DO BRASIL S.A.;4.74;17.77;19.17;-1.68;0.0;-0.17;8.97;0.0;0.78;3.65;4.91;12.6;10.13;0.0;11.61;0.61;-1.47;1.33;7.79;0.0;6.8;0.79;0.79;-0.11;0.78;0.22;9.03;11.62;8.91;31.4
0;Energia Elétrica;Energia Elétrica;Utilidade Pública;ALUP4;ALUPAR;24.93;27.49;4.3;2.71;2.6;1.16;5.37;5.14;0.16;1.08;2.73;80.24;73.84;77.1;22.37;0.31;-0.38;2.7;2.69;2.57;8.87;1.98;1.15;-0.27;0.27;0.6;3.48;12.99;12.37;8.28
0;Máq. e Equip. Industriais;Máquinas e Equipamentos;Bens Industriais;EALT4;ELECTRO ACO ALTONA;0.0;26.85;4.32;1.91;1.51;0.58;4.64;3.66;0.93;1.92;0.94;23.54;12.74;16.13;8.88;0.3;-0.48;-12.35;2.52;1.99;3.62;0.32;0.76;0.08;0.39;0.61;8.26;21.11;16.93;9.1
0;Exploração de Imóveis;Exploração de Imóveis;Financeiro e Outros;SCAR3;SÃO CARLOS;0.0;-8.54;1.14;12.75;8.97;1.21;17.86;12.56;0.08;-1.14;2.25;77.38;47.1;66.97;-21.64;0.2;-0.23;2.28;5.1;3.59;-11.11;2.4;0.48;0.05;0.41;0.59;-1.77;-4.36;3.38;26.05
0;Energia Elétrica;Energia Elétrica;Utilidade Pública;ENGI3;ENERGISA;72.25;17.81;1.79;3.7;3.04;1.87;6.46;5.3;0.46;1.15;1.22;26.61;21.65;26.35;8.6;0.44;-0.6;9.36;4.48;3.68;11.27;0.97;2.27;-3.08;0.2;0.78;3.93;20.11;12.38;5.72
0;Produtos para Construção;Construção e Engenharia;Bens Industriais;HAGA3;HAGA S/A;1.81;9.48;0.0;-2.91;0.0;0.0;1.96;0.0;0.48;0.3;1.74;19.89;11.89;0.0;12.53;0.45;-2.71;1.29;7.89;0.0;7.48;0.94;-0.42;-0.12;-1.07;2.07;6.07;-5.67;-6.27;-5.3
0;Eletrodomésticos;Comércio;Consumo Cíclico;WHRL4;WHIRLPOOL;11.67;14.11;4.31;-0.55;-0.46;-0.19;7.51;6.27;1.35;0.36;1.1;16.5;7.83;9.38;4.95;0.89;-2.91;13.88;8.38;6.99;13.24;0.66;2.93;-0.27;0.3;0.7;6.69;22.16;20.32;1.63
0;Energia Elétrica;Energia Elétrica;Utilidade Pública;RNEW3;RENOVA;0.0;-27.95;0.0;1.73;1.38;0.0;2.76;2.21;0.09;0.75;0.87;30.94;294.0;367.62;108.4;0.26;-0.31;-11.83;1.02;0.81;2.76;2.99;-0.84;0.04;-0.31;1.31;9.41;-30.6;133.4;-2.45
0;Energia Elétrica;Energia Elétrica;Utilidade Pública;ALUP3;ALUPAR;24.93;27.49;4.38;2.71;2.6;1.16;5.37;5.14;0.16;1.08;2.73;80.24;73.84;77.1;22.37;0.3;-0.37;2.65;2.64;2.53;8.71;1.95;1.13;-0.27;0.27;0.6;3.48;12.99;12.37;8.28
0;Produtos de Limpeza;Produtos de Uso Pessoal e de Limpeza;Consumo não Cíclico;BOBR4;BOMBRIL;0.0;0.74;0.0;3.19;2.58;0.0;4.65;3.77;1.55;-0.25;0.63;32.64;6.9;8.53;-4.6;0.33;-0.63;-1.18;3.1;2.51;-4.65;0.21;-1.67;0.03;-0.2;1.2;-7.13;-35.95;43.06;-0.69
0;Bancos;Intermediários Financeiros;Financeiro e Outros;BPAC5;BTG;30.57;46.0;4.06;0.0;0.0;0.0;8.22;8.77;0.13;0.68;1.03;17.34;19.52;18.31;15.8;0.17;-1.94;5.97;6.4;6.82;7.91;1.25;1.46;0.78;0.11;0.89;2.12;18.51;0.0;3.68
0;Bancos;Intermediários Financeiros;Financeiro e Outros;BRSR3;BANCO BANRISUL;-5.11;6.91;7.82;0.0;0.0;0.0;5.76;0.0;0.11;2.06;1.87;30.36;5.84;0.0;6.47;0.04;-0.04;2.88;6.06;0.0;5.47;0.35;0.48;-0.27;0.08;0.92;0.74;8.85;0.0;23.28
0;Exploração. Refino e Distribuição;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis;RPMG3;REFINARIA DE PETROLEOS MANGUINHOS;0.0;25.45;0.0;-0.25;-0.25;0.0;-0.37;-0.37;0.94;-13.45;0.57;-11.88;-18.63;-18.53;-19.13;0.02;-0.34;-0.03;-0.12;-0.12;-0.12;0.02;-0.03;0.0;-0.76;1.77;-18.05;-23.61;24.39;-56.95
0;Energia Elétrica;Energia Elétrica;Utilidade Pública;CEBR6;CEB;11.68;-30.49;35.07;-1.84;0.0;-0.54;1.06;0.0;0.3;2.71;7.35;60.43;69.42;0.0;49.42;0.61;-1.26;1.35;2.92;0.0;4.1;2.03;0.86;-0.05;0.7;0.09;14.77;21.04;16.48;12.88
0;Telecomunicações;Telecomunicações;Comunicações;TELB4;TELEBRAS;0.0;38.5;0.0;16.26;-4.94;-0.58;-3.24;0.98;0.09;-1.76;4.98;-54.22;-17.16;56.46;-44.11;0.2;-0.32;0.67;-13.74;4.18;-5.35;2.36;0.49;-0.96;0.41;0.59;-3.78;-9.15;-3.22;19.19
0;Produtos Diversos;Comércio;Consumo Cíclico;SLED3;SARAIVA;0.0;-44.82;0.0;0.32;0.28;0.0;0.39;0.34;0.61;15.84;0.27;43.87;290.32;332.82;184.23;0.5;-0.71;-0.64;0.28;0.25;0.45;0.83;-0.19;0.0;-2.67;3.67;111.56;-41.73;-85.85;-37.97
0;Exploração de Imóveis;Exploração de Imóveis;Financeiro e Outros;IGTI4;JEREISSATI;-5.85;5.11;1.88;2.52;1.89;0.3;13.42;10.05;0.14;0.01;2.11;60.31;45.08;60.2;1.53;1.26;-1.86;7.42;20.3;15.2;596.51;9.15;2.38;-6.59;0.53;0.47;0.21;0.4;5.57;3.27
0;Energia Elétrica;Energia Elétrica;Utilidade Pública;EKTR4;ELEKTRO;21.37;7.62;21.02;2.5;2.13;1.56;6.51;5.53;0.85;5.09;1.23;26.12;21.32;25.07;11.75;0.72;-1.0;13.79;4.01;3.41;7.27;0.85;2.5;0.36;0.29;0.71;9.93;34.42;17.65;14.79
0;Equipamentos e Serviços;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis;OSXB3;OSX BRASIL;0.0;89.07;0.0;-232.72;-576.55;0.0;-233.59;-578.73;0.02;-189.44;0.03;90.65;-61.67;-24.89;-1708.4;0.01;-0.01;-0.03;-0.88;-2.18;-0.03;0.54;0.0;0.0;-2.54;3.55;-26.73;-10.52;3.25;-1800.97
0;Bancos;Intermediários Financeiros;Financeiro e Outros;BAZA3;BANCO AMAZONIA;54.23;-2.61;11.0;0.0;0.0;0.0;1.98;0.0;0.09;20.34;0.0;35.57;61.66;0.0;39.79;0.11;-0.12;1.13;1.98;0.0;3.07;1.22;0.78;0.03;0.14;0.86;3.49;25.51;0.0;79.74
0;Bancos;Intermediários Financeiros;Financeiro e Outros;BEES4;BANCO BANESTES;18.07;-6.14;8.37;0.0;0.0;0.0;3.86;0.0;0.11;1.06;0.0;26.53;12.39;0.0;7.9;0.06;-0.07;0.35;4.24;0.0;6.64;0.52;1.14;0.17;0.05;0.95;0.86;17.14;0.0;6.18
0;Exploração de Imóveis;Exploração de Imóveis;Financeiro e Outros;IGBR3;IGB ELETRÔNICA;0.0;-7.98;0.0;0.56;0.0;0.0;0.74;0.0;0.03;312.87;0.33;100.0;6032.01;0.0;5379.32;0.36;-0.76;-0.35;0.18;0.0;0.2;10.66;-0.12;0.0;-3.06;4.06;184.1;-60.1;-146.75;-520.56
